1_Tps_b3v08 
Herbinix sp.
Kushneria phosphatilytica
Maribacter sp.
Prevotella oralis
Roseburia faecis
Ruminiclostridium thermocellum
Ruminococcus champanellensis
Ruminococcus obeum
Streptomyces sp.
Anaerobutyricum hallii
Bacillus sp.
Caulobacter sp.
Eubacterium hallii
Gryllus bimaculatus
Hungatella hathewayi
Ruthenibacterium lactatiformans
Saccharum arundinaceum
Weizmannia coagulans
Acutalibacter muris
Anaerocolumna cellulosilytica
Bacteroides salanitronis
Bacteroides stercoris
Barnesiella viscericola
Blastocladiella sp.
Blautia liquoris
Candidatus Hamiltonella
Duncaniella sp.
Jonesia denitrificans
Kappamyces sp.
Lachnoclostridium sp.
Leptotrichia wadei
Mesonia algae
Mordavella sp.
Mycobacterium leprae
Paenibacillus polymyxa
Pyropia perforata
Roseburia sp.
Sinorhizobium medicae
Bacteroides cellulosilyticus
Bifidobacterium dentium
Lachnoclostridium phytofermentans
Ruminococcus sp.
Alicyclobacillus acidoterrestris
Bacteroides salyersiae
Brevundimonas sp.
Hungatella xylanolytica
Ruminococcus albus
Vescimonas fastidiosa
Bacteroides helcogenes
Butyrivibrio proteoclasticus
Clostridium butyricum
Lachnospira eligens
Lacrimispora saccharolytica
Muribaculum intestinale
Novisyntrophococcus fermenticellae
Prevotella hominis
Akkermansia muciniphila
Anaerocolumna chitinilytica
Anaerocolumna sedimenticola
Clostridiales sp.
Clostridium hylemonae
Clostridium saccharolyticum-like
Coprococcus eutactus
Ethanoligenens harbinense
Eubacterium siraeum
Paenibacillus larvae
Ruminococcus bicirculans
Clostridium sphenoides
Lactobacillus delbrueckii
Mycoplasma capricolum
Ruminococcus torques
Blautia massiliensis
Finegoldia magna
Prevotella enoeca
Anaerostipes caccae
Bifidobacterium adolescentis
Blautia coccoides
Coprococcus comes
Erysipelatoclostridium ramosum
Blautia hansenii
Eubacterium eligens
Oscillibacter sp.
Anaerostipes hadrus
Clostridiaceae bacterium
Faecalicatena sp.
Oscillibacter valericigenes
Bacteroides xylanisolvens
Bacteroides intestinalis
Clostridium saccharolyticum
Mycobacterium tuberculosis
Bacteroides ovatus
Pusillimonas faecalis
Desulfitobacterium hafniense
Enterocloster clostridioformis
Streptococcus mutans
Bacteroides uniformis
Cloning vector
Roseburia hominis
